,Start Period,End Period,Risk-Free Rate ,Time in Market ,Cumulative Return ,CAGR%,Sharpe,Sortino,Max Drawdown ,Longest DD Days,Volatility (ann.) ,Calmar,Skew,Kurtosis,Expected Daily %,Expected Monthly %,Expected Yearly %,Kelly Criterion ,Risk of Ruin ,Daily Value-at-Risk ,Expected Shortfall (cVaR) ,Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD ,3M ,6M ,YTD ,1Y ,3Y (ann.) ,5Y (ann.) ,10Y (ann.) ,All-time (ann.) ,Best Day ,Worst Day ,Best Month ,Worst Month ,Best Year ,Worst Year ,Avg. Drawdown ,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Avg. Up Month ,Avg. Down Month ,Win Days %,Win Month %,Win Quarter %,Win Year %
2,2004-01-02,2020-04-07,0.0,1.0,2.2,0.07,0.78,1.08,-0.21,713,0.1,0.35,-0.7,8.25,0.0,0.01,0.07,0.07,0.0,-0.01,-0.01,0.94,1.15,1.18,0.6,1.02,3.82,3.87,0.0,0.02,0.06,0.02,0.18,0.1,0.07,0.1,0.07,0.05,-0.06,0.11,-0.09,0.25,-0.07,-0.01,29,10.52,1.02,0.02,-0.02,0.55,0.64,0.7,0.71
3,2004-01-02,2020-04-07,0.0,1.0,2.33,0.08,0.85,1.18,-0.17,442,0.09,0.44,-0.63,8.23,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.16,1.13,0.61,0.97,3.67,3.91,0.01,0.03,0.07,0.03,0.19,0.11,0.07,0.1,0.08,0.04,-0.06,0.12,-0.1,0.24,-0.09,-0.01,28,13.31,1.01,0.02,-0.02,0.55,0.65,0.71,0.88
4,2004-01-02,2020-04-07,0.0,1.0,2.35,0.08,0.88,1.23,-0.18,488,0.09,0.44,-0.65,8.43,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.17,1.16,0.61,0.99,3.58,3.81,0.01,0.03,0.07,0.04,0.2,0.11,0.07,0.1,0.08,0.04,-0.06,0.12,-0.1,0.23,-0.08,-0.01,28,13.41,1.01,0.02,-0.02,0.55,0.65,0.71,0.82
5,2004-01-02,2020-04-07,0.0,1.0,2.32,0.08,0.89,1.24,-0.18,532,0.09,0.43,-0.65,8.57,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.17,1.15,0.61,0.98,3.53,3.73,0.01,0.03,0.07,0.04,0.2,0.11,0.07,0.1,0.08,0.04,-0.06,0.12,-0.11,0.23,-0.08,-0.01,28,13.14,1.01,0.02,-0.02,0.55,0.65,0.71,0.82
6,2004-01-02,2020-04-07,0.0,1.0,2.32,0.08,0.9,1.26,-0.18,561,0.09,0.43,-0.65,8.67,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.17,1.14,0.62,0.97,3.5,3.68,0.01,0.03,0.07,0.04,0.2,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.11,0.22,-0.07,-0.01,27,12.97,1.01,0.02,-0.02,0.55,0.64,0.7,0.82
7,2004-01-02,2020-04-07,0.0,1.0,2.31,0.08,0.9,1.27,-0.18,583,0.09,0.42,-0.65,8.75,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.17,1.15,0.62,0.98,3.54,3.63,0.01,0.04,0.08,0.04,0.2,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.11,0.22,-0.07,-0.01,27,12.73,1.01,0.02,-0.02,0.55,0.65,0.7,0.82
8,2004-01-02,2020-04-07,0.0,1.0,2.3,0.08,0.91,1.27,-0.18,593,0.08,0.41,-0.65,8.8,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.18,1.14,0.62,0.97,3.55,3.67,0.01,0.04,0.08,0.05,0.19,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.11,0.21,-0.08,-0.01,27,12.52,1.01,0.02,-0.02,0.55,0.66,0.71,0.82
9,2004-01-02,2020-04-07,0.0,1.0,2.29,0.08,0.91,1.28,-0.19,615,0.08,0.41,-0.65,8.84,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.18,1.13,0.62,0.96,3.56,3.68,0.01,0.04,0.08,0.05,0.19,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.12,0.21,-0.08,-0.01,27,12.33,1.01,0.02,-0.02,0.55,0.65,0.71,0.82
10,2004-01-02,2020-04-07,0.0,1.0,2.28,0.08,0.91,1.28,-0.19,622,0.08,0.4,-0.64,8.88,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.18,1.13,0.62,0.96,3.53,3.69,0.01,0.04,0.08,0.05,0.19,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.12,0.21,-0.09,-0.01,27,12.17,1.01,0.02,-0.02,0.55,0.65,0.73,0.82
11,2004-01-02,2020-04-07,0.0,1.0,2.28,0.08,0.91,1.28,-0.19,628,0.08,0.4,-0.64,8.91,0.0,0.01,0.07,0.08,0.0,-0.01,-0.01,0.95,1.18,1.15,0.62,0.98,3.53,3.67,0.01,0.04,0.08,0.05,0.19,0.11,0.07,0.1,0.08,0.03,-0.06,0.12,-0.12,0.2,-0.1,-0.01,26,12.02,1.01,0.02,-0.02,0.55,0.65,0.71,0.82
