,Start Period,End Period,Risk-Free Rate ,Time in Market ,Cumulative Return ,CAGR%,Sharpe,Sortino,Max Drawdown ,Longest DD Days,Volatility (ann.) ,Calmar,Skew,Kurtosis,Expected Daily %,Expected Monthly %,Expected Yearly %,Kelly Criterion ,Risk of Ruin ,Daily Value-at-Risk ,Expected Shortfall (cVaR) ,Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD ,3M ,6M ,YTD ,1Y ,3Y (ann.) ,5Y (ann.) ,10Y (ann.) ,All-time (ann.) ,Best Day ,Worst Day ,Best Month ,Worst Month ,Best Year ,Worst Year ,Avg. Drawdown ,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Avg. Up Month ,Avg. Down Month ,Win Days %,Win Month %,Win Quarter %,Win Year %
0.04,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.08,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.12,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.16,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.2,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.24,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.28,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.32,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.36,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
0.4,2006-01-03,2020-07-07,0.0,1.0,2.25,0.08,1.01,1.43,-0.19,630,0.08,0.44,-0.61,8.95,0.0,0.01,0.08,0.09,0.0,-0.01,-0.01,0.97,1.2,1.2,0.64,1.01,3.59,3.69,0.01,0.07,0.08,0.09,0.16,0.12,0.1,0.11,0.08,0.03,-0.06,0.11,-0.12,0.2,-0.1,-0.01,23,11.74,1.02,0.02,-0.02,0.55,0.67,0.73,0.8
